iter	Passed	Remaining
0	2	262
1	4	232
2	6	217
3	8	195
4	10	196
5	12	195
6	16	224
7	19	223
8	21	220
9	23	211
10	26	211
11	28	207
12	31	212
13	34	214
14	36	209
15	38	204
16	41	200
17	43	200
18	45	195
19	49	196
20	52	197
21	54	194
22	57	191
23	59	188
24	61	184
25	64	183
26	67	182
27	71	184
28	81	199
29	84	196
30	88	196
31	90	192
32	92	188
33	96	187
34	98	182
35	105	187
36	107	182
37	109	178
38	111	174
39	116	174
40	118	170
41	118	164
42	120	160
43	124	157
44	126	154
45	134	158
46	137	154
47	180	195
48	183	190
49	188	188
50	213	204
51	233	215
52	239	212
53	240	205
54	241	197
55	243	191
56	244	184
57	246	178
58	247	172
59	249	166
60	250	160
61	253	155
62	319	187
63	354	199
64	363	195
65	364	187
66	366	180
67	368	173
68	372	167
69	374	160
70	413	169
71	415	161
72	417	154
73	419	147
74	421	140
75	423	133
76	426	127
77	428	120
78	495	131
79	496	124
80	498	116
81	499	109
82	501	102
83	502	95
84	504	89
85	505	82
86	506	75
87	507	69
88	509	62
89	510	56
90	512	50
91	513	44
92	514	38
93	515	32
94	516	27
95	518	21
96	519	16
97	521	10
98	522	5
99	524	0
