iter	Passed	Remaining
0	81	81791
1	82	41347
2	84	27934
3	85	21300
4	86	17195
5	88	14600
6	89	12638
7	90	11245
8	92	10137
9	92	9181
10	93	8411
11	95	7825
12	96	7320
13	97	6891
14	99	6510
15	100	6150
16	101	5848
17	102	5576
18	103	5337
19	104	5119
20	105	4911
21	106	4727
22	107	4554
23	108	4395
24	108	4245
25	109	4102
26	110	3971
27	110	3852
28	111	3738
29	112	3633
30	113	3532
31	113	3434
32	114	3342
33	114	3257
34	115	3176
35	115	3097
36	116	3022
37	116	2952
38	117	2885
39	117	2822
40	118	2764
41	118	2708
42	119	2655
43	119	2603
44	120	2553
45	120	2505
46	121	2459
47	121	2414
48	122	2373
49	122	2332
50	123	2294
51	123	2255
52	124	2219
53	124	2184
54	125	2152
55	125	2121
56	126	2092
57	127	2065
58	127	2036
59	128	2008
60	128	1980
61	129	1955
62	129	1929
63	130	1905
64	130	1880
65	131	1856
66	131	1832
67	132	1811
68	132	1791
69	133	1770
70	133	1750
71	134	1730
72	134	1711
73	135	1691
74	135	1673
75	136	1655
76	136	1638
77	137	1620
78	137	1603
79	138	1587
80	138	1570
81	138	1555
82	139	1537
83	139	1522
84	140	1509
85	140	1495
86	141	1481
87	141	1467
88	142	1454
89	142	1441
90	143	1428
91	143	1416
92	144	1404
93	144	1392
94	144	1380
95	145	1368
96	145	1357
97	146	1346
98	146	1335
99	147	1325
100	148	1320
101	148	1311
102	149	1302
103	149	1291
104	150	1282
105	150	1272
106	151	1263
107	151	1254
108	152	1245
109	152	1236
110	153	1227
111	153	1218
112	154	1209
113	154	1201
114	155	1194
115	155	1187
116	156	1179
117	156	1171
118	157	1163
119	157	1156
120	158	1148
121	158	1140
122	158	1133
123	159	1125
124	159	1118
125	160	1111
126	160	1104
127	161	1097
128	161	1090
129	161	1084
130	162	1078
131	163	1073
132	163	1067
133	164	1062
134	165	1057
135	165	1051
136	166	1046
137	166	1040
138	167	1034
139	167	1029
140	168	1023
141	168	1016
142	168	1011
143	169	1005
144	169	1000
145	170	994
146	170	989
147	171	985
148	171	980
149	172	976
150	172	971
151	173	967
152	173	962
153	174	957
154	174	952
155	175	947
156	175	942
157	176	938
158	176	933
159	177	929
160	177	923
161	177	919
162	178	916
163	179	912
164	179	909
165	180	905
166	180	901
167	181	897
168	181	893
169	182	889
170	182	885
171	183	881
172	183	877
173	184	873
174	184	869
175	184	865
176	185	862
177	186	859
178	186	855
179	187	852
180	187	848
181	188	845
182	188	842
183	189	838
184	189	835
185	190	831
186	190	828
187	190	824
188	191	821
189	191	818
190	192	814
191	192	811
192	193	808
193	193	805
194	194	803
195	195	801
196	196	799
197	197	798
198	198	800
199	199	797
200	199	794
201	200	791
202	200	788
203	201	786
204	202	783
205	202	780
206	203	777
207	203	775
208	204	772
209	204	769
210	204	766
211	205	763
212	205	760
213	206	757
214	206	754
215	207	751
216	207	749
217	208	746
218	208	743
219	209	741
220	209	739
221	210	736
222	210	734
223	211	732
224	211	730
225	212	727
226	212	725
227	213	723
228	214	720
229	214	718
230	214	715
231	215	713
232	215	710
233	216	708
234	216	706
235	217	704
236	217	701
237	218	699
238	218	696
239	219	694
240	219	692
241	220	689
242	220	687
243	221	685
244	221	682
245	222	680
246	222	678
247	222	675
248	223	673
249	223	671
250	224	669
251	224	667
252	225	665
253	225	662
254	226	660
255	226	658
256	227	656
257	227	654
258	227	652
259	228	649
260	228	647
261	229	645
262	229	643
263	230	641
264	230	639
265	231	637
266	231	635
267	232	633
268	232	632
269	233	630
270	233	628
271	234	626
272	234	624
273	234	622
274	235	620
275	235	618
276	236	616
277	236	614
278	237	613
279	237	611
280	238	609
281	238	607
